no,fecha,cfdi,nombre,monto,dias,fecha_pago
1,2/11/2020,7494,BESTOP INC .(LOUISVILLE),10749.6,68,4/18/2020
2,2/12/2020,10988,BESTOP INC .(LOUISVILLE),19596,67,4/18/2020
3,2/14/2020,7517,BESTOP INC .(LOUISVILLE),1116,65,4/25/2020
4,2/18/2020,10990,BESTOP INC .(LOUISVILLE),2480.4,61,4/25/2020
5,2/19/2020,7551,FLEX N GATE MEXICO S. DE R.L. DE C.V.,1158.8,60,4/19/2020
6,2/21/2020,10995,BESTOP INC .(LOUISVILLE),8816.4,58,4/25/2020
7,2/21/2020,7563,FLEX N GATE MEXICO S. DE R.L. DE C.V.,630.58,58,4/21/2020
8,2/25/2020,7578,BESTOP INC .(LOUISVILLE),17474.4,54,5/2/2020
9,2/25/2020,10999,BESTOP INC .(LOUISVILLE),21191.2,54,5/2/2020
10,2/25/2020,7583,"GALVANIZADORA DE OCCIDENTE, S.A. DE C.V.",1782.69,54,4/25/2020
11,2/28/2020,10951,BESTOP INC .(LOUISVILLE),10639.2,51,5/2/2020
12,2/28/2020,10952,BESTOP INC .(LOUISVILLE),1404,51,5/2/2020
13,2/28/2020,7595,BESTOP INC .(LOUISVILLE),15019.2,51,5/2/2020
14,2/28/2020,7600,BESTOP INC .(LOUISVILLE),1344,51,5/2/2020
15,3/3/2020,11010,BESTOP INC .(LOUISVILLE),12304.96,47,5/8/2020
16,3/3/2020,11011,BESTOP INC .(LOUISVILLE),8250,47,5/8/2020
17,3/3/2020,11012,BESTOP INC .(LOUISVILLE),64,47,5/8/2020
18,3/4/2020,11014,BESTOP INC .(LOUISVILLE),18467.92,46,5/8/2020
19,3/5/2020,10962,BESTOP INC .(LOUISVILLE),16075.3,45,5/8/2020
20,3/5/2020,7630,BESTOP INC .(LOUISVILLE),21355.2,45,5/8/2020
21,3/6/2020,7634,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,44,5/8/2020
22,3/6/2020,7635,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4046.87,44,5/8/2020
